"","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12"
"2018-06-01",0.0029918791850691,0.00256446787291637,0.0329106710357601,0.263285368286081,0.053426414019091,0.000854822624305457,0.154437954124519,0.00227952699814788,0.00156717481122667,0.172389229234934,0.171676877048013,0.141615614759937
"2018-07-01",0.0117741935483871,0.00112903225806452,0.100967741935484,0.257258064516129,0.0130645161290323,0.00693548387096774,0.0691935483870968,0.00741935483870968,0.000645161290322581,0.0354838709677419,0.449677419354839,0.0464516129032258
"2018-08-01",0.00185960018596002,0.0450953045095304,0.0187509685417635,0.335347900201457,0.129397179606385,0.00867813420114675,0.0344026034402603,0.00294436696110336,0.0268092360142569,0.00588873392220673,0.265147993181466,0.125677979234465
"2018-09-01",0.00116740602381508,0.00910576698575765,0.0336212934858744,0.548447349988326,0.0350221807144525,0.00233481204763017,0.069810880224142,0.000466962409526033,0.000466962409526033,0.00537006770954938,0.286714919448984,0.00747139855241653
"2018-10-01",0.00819299044151115,0.00455166135639508,0.103095129722349,0.207100591715976,0.0691852526172053,0.0646335912608102,0.113336367774238,0.000455166135639508,0.0355029585798817,0.000227583067819754,0.320209376422394,0.0735093309057806
"2018-11-01",0.00228920259442961,0.00324303700877528,0.132392216711179,0.196680656238077,0.215566577642121,0.0131629149179702,0.107783288821061,0.00209843571156047,0.00305227012590614,0.0413964135826021,0.231781762685998,0.0505532239603205
"2018-12-01",0.124967989756722,0.0060179257362356,0.0189500640204866,0.0964148527528809,0.125864276568502,0.00332906530089629,0.0274007682458387,0.00204865556978233,0.00256081946222791,0.00806658130601793,0.513828425096031,0.070550576184379
"2019-01-01",0.0096856414613424,0.00118946474086661,0.14375531011045,0.285981308411215,0.0973661852166525,0.0192013593882753,0.267119796091759,0.0032285471537808,0.000849617672047579,0.00560747663551402,0.102293967714528,0.0637213254035684
"2019-02-01",0.0461843766913224,0.0176799567021469,0.0736063503517951,0.32834205303987,0.0817246978170666,0.0057730470864153,0.121594804257622,0.012087317337182,0.0113656864513801,0.00811834746527151,0.254555294966625,0.0389680678333033
"2019-03-01",0.0098173964264677,0.00412330649911643,0.0891419595523267,0.119379540545847,0.0357353229923424,0.0184567052817593,0.175338700176713,0.0025525230708816,0.0104064402120558,0.0223836638523464,0.468682505399568,0.0439819359905753
